product, asynchronous, synchronous
0, 495, 429
1000, 2253, 1017
2000, 3958, 1538
3000, 5814, 2034
4000, 7679, 2596
5000, 9343, 3094
6000, 11101, 3606
7000, 12836, 4133
8000, 14626, 4636
9000, 16365, 5145
10000, 18114, 5657
11000, 19876, 6219
12000, 21656, 6771
13000, 23402, 7273
14000, 25207, 7711
15000, 26974, 8324
16000, 28772, 8902
17000, 30475, 9302
18000, 32245, 9880
19000, 34059, 10364
20000, 35715, 10918
21000, 37547, 11423
22000, 39370, 11991
23000, 41074, 12478
24000, 42791, 13016
25000, 44608, 13431
26000, 46472, 14163
27000, 48296, 14703
28000, 50800, 15255
29000, 57924, 21200
30000, 87773, 19638
31000, 58580, 16773
32000, 56884, 17073
33000, 58758, 17713
34000, 61000, 18263
35000, 62375, 18801
36000, 63975, 19275
37000, 65794, 19645
38000, 67849, 20372
39000, 69482, 21385
40000, 78221, 35025
41000, 100792, 22085
42000, 74734, 22432
43000, 76393, 22991
44000, 78109, 23479
45000, 79855, 23888
46000, 81996, 24540
47000, 83398, 24831
48000, 85271, 29675
49000, 90301, 28529
50000, 105935, 31646
51000, 92844, 28124
52000, 94203, 28322
53000, 101772, 28929
54000, 97967, 29464
55000, 99559, 29824
56000, 101017, 30478
57000, 142331, 37499
58000, 103038, 31007
59000, 104712, 31250
60000, 106419, 32118
61000, 108544, 34556
62000, 110392, 46604
63000, 120695, 41185
64000, 120547, 34101
65000, 115209, 34513
66000, 117311, 35113
67000, 120377, 35631
68000, 120729, 36297
69000, 122696, 38764
70000, 124815, 36938
71000, 126087, 37874
72000, 127512, 38340
73000, 129774, 38762
74000, 131137, 39077
75000, 132731, 39883
76000, 135541, 40604
77000, 136886, 41142
78000, 138696, 41240
79000, 139925, 41611
80000, 141632, 42871
81000, 143851, 43658
82000, 146251, 43323
83000, 147301, 44681
84000, 159636, 74491
85000, 176340, 45914
86000, 158889, 48272
87000, 227434, 62539
88000, 284502, 67002
89000, 195416, 69710
90000, 281844, 102446
91000, 295904, 62718
92000, 166046, 49893
93000, 168136, 50611
94000, 170564, 64090
95000, 178720, 55242
96000, 216039, 58000
97000, 177390, 51453
98000, 173803, 51749
99000, 176372, 57696
100000, 235059, 54074
