product, time
0, 415
1000, 2208
2000, 4030
3000, 5757
4000, 7564
5000, 9342
6000, 11186
7000, 12828
8000, 14689
9000, 16342
10000, 18087
11000, 19866
12000, 21639
13000, 23427
14000, 25160
15000, 26972
16000, 28635
17000, 30547
18000, 32238
19000, 34016
20000, 35752
21000, 37593
22000, 39441
23000, 40998
24000, 42847
25000, 44579
26000, 46395
27000, 48270
28000, 49855
29000, 51842
30000, 57016
31000, 55369
32000, 57261
33000, 60671
34000, 63830
35000, 94444
36000, 78049
37000, 65785
38000, 67621
39000, 69270
40000, 80652
41000, 73822
42000, 74619
43000, 76257
44000, 78156
45000, 80099
46000, 89379
47000, 89268
48000, 122026
49000, 102309
50000, 90853
51000, 91647
52000, 93433
53000, 95301
54000, 96893
55000, 98645
56000, 99983
57000, 115834
58000, 137321
59000, 105647
60000, 106393
61000, 109225
62000, 110319
63000, 112174
64000, 113819
65000, 117233
66000, 140279
67000, 174338
68000, 134131
69000, 137667
70000, 124322
71000, 133276
72000, 131437
73000, 129917
74000, 131339
75000, 132984
76000, 134905
77000, 137609
78000, 139105
79000, 141304
80000, 142460
81000, 143928
82000, 146040
83000, 148264
84000, 149256
85000, 151118
86000, 153536
87000, 155016
88000, 159688
89000, 161802
90000, 161731
91000, 163233
92000, 164823
93000, 171126
94000, 169349
95000, 171030
96000, 172256
97000, 172986
98000, 174060
99000, 176021
100000, 179033
